Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
16,'050,Bangladesh,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,39728.535,40548.59,41426.885,42329.279,43282.032,44315.548,45407.666,46560.522,47742.791,49004.963,50396.429,51882.769,53461.661,55094.115,56774.465,58500.159,60265.259,62104.488,63995.652,65866.908,67541.86,68376.204,69346.705,71144.818,72947.807,74700.345,76380.08,78137.788,80007.55,81908.151,83929.765,86154.836,88555.336,91045.478,93534.239,95959.099,98271.746,100490.256,102688.833,104893.674,107147.651,109242.834,111272.102,113418.757,115614.891,117793.338,119876.868,122039.226,124350.471,126754.824,129193.327,131670.484,134139.826,136503.206,138789.725,140912.59,142628.831,144135.934,145421.318,146706.81,148391.139,150211.005,152090.649,154030.139,155961.299,157830.0,159784.568,161793.964,163683.958,165516.222,167420.951,169356.251,171186.372,172954.319,174701.211,176421.509,178106.136,179751.964,181356.085,182915.579,184424.144,185878.302,187281.026,188629.587,189925.419,191166.614,192347.658,193472.026,194542.147,195558.997,196526.123,197444.714,198317.585,199152.551,199951.236,200709.378,201429.647,202111.723,202751.082,203348.861,203904.9,204414.038,204881.655,205304.625,205678.964,206011.271,206294.832,206522.498,206696.286,206817.842,206887.443,206906.003,206872.403,206782.889,206636.984,206436.847,206189.177,205895.069,205549.08,205155.248,204718.336,204236.614,203709.658,203141.965,202535.002,201891.486,201211.269,200489.912,199729.854,198933.08,198102.576,197240.092,196345.162,195420.633,194464.725,193475.937,192454.929,191408.63,190341.677,189251.652,188142.991,187014.794,185865.478,184699.322,183524.177,182342.109,181152.81,179959.517,178762.53,177563.935,176366.038
16,'050,Bangladesh,3010,Population - Est. & Proj.,512,Total Population - Male,1000 No,20741.251,21151.554,21592.865,22048.409,22531.264,23056.332,23612.367,24200.235,24803.556,25447.274,26157.018,26915.881,27723.366,28562.367,29428.178,30318.485,31229.986,32177.969,33152.764,34118.8,34998.362,35303.433,35668.281,36604.007,37543.084,38432.4,39256.573,40122.855,41051.417,41996.76,43009.114,44136.305,45364.525,46644.452,47921.378,49158.092,50335.495,51465.66,52585.509,53715.914,54881.321,55963.154,56993.734,58073.609,59178.327,60264.993,61300.126,62369.36,63503.082,64686.174,65883.36,67083.138,68254.669,69348.344,70392.333,71337.878,72029.553,72599.534,73036.822,73488.956,74213.622,75035.683,75898.562,76786.999,77673.568,78535.803,79459.393,80422.431,81314.565,82164.179,83063.714,83998.088,84859.213,85672.234,86474.589,87263.559,88034.523,88786.068,89516.83,90225.414,90908.806,91565.324,92196.366,92800.708,93379.391,93931.523,94454.409,94949.826,95419.174,95863.408,96284.326,96682.545,97059.85,97420.282,97764.575,98090.768,98400.508,98693.634,98967.74,99223.602,99461.469,99678.764,99878.444,100058.925,100217.826,100358.66,100478.227,100572.829,100643.903,100692.424,100718.293,100722.05,100703.151,100659.508,100590.698,100497.706,100383.389,100247.825,100088.28,99906.514,99704.197,99479.954,99233.412,98966.833,98680.349,98375.323,98051.938,97707.548,97343.046,96959.064,96557.29,96138.635,95702.664,95251.131,94783.69,94299.099,93797.692,93283.196,92757.793,92220.47,91673.347,91116.649,90549.258,89973.182,89392.915,88809.294,88222.399,87634.091,87043.781,86452.163,85860.281
16,'050,Bangladesh,3010,Population - Est. & Proj.,513,Total Population - Female,1000 No,18987.283,19397.036,19834.02,20280.87,20750.768,21259.216,21795.3,22360.287,22939.234,23557.688,24239.411,24966.888,25738.295,26531.749,27346.287,28181.674,29035.273,29926.518,30842.888,31748.108,32543.499,33072.77,33678.425,34540.812,35404.723,36267.944,37123.506,38014.933,38956.133,39911.39,40920.651,42018.531,43190.811,44401.026,45612.861,46801.007,47936.251,49024.596,50103.325,51177.76,52266.33,53279.681,54278.369,55345.149,56436.564,57528.346,58576.743,59669.865,60847.389,62068.65,63309.967,64587.346,65885.157,67154.861,68397.392,69574.712,70599.279,71536.401,72384.496,73217.854,74177.517,75175.322,76192.087,77243.14,78287.731,79294.197,80325.176,81371.533,82369.393,83352.043,84357.236,85358.163,86327.159,87282.086,88226.622,89157.951,90071.613,90965.895,91839.254,92690.164,93515.337,94312.978,95084.66,95828.879,96546.029,97235.091,97893.25,98522.2,99122.973,99695.588,100241.796,100762.17,101257.735,101732.269,102186.661,102618.61,103029.139,103418.088,103783.341,104125.258,104443.431,104735.274,105003.211,105245.7,105461.138,105652.61,105816.605,105949.669,106052.383,106125.419,106169.149,106183.952,106169.253,106123.38,106046.286,105939.14,105805.788,105647.245,105460.8,105248.735,105014.139,104756.661,104476.246,104175.133,103854.652,103516.163,103159.332,102782.364,102386.807,101974.015,101545.286,101101.457,100642.497,100169.502,99681.034,99176.837,98657.236,98125.435,97583.883,97031.182,96469.644,95898.145,95316.22,94726.14,94131.261,93532.814,92930.411,92325.426,91718.749,91111.773,90505.757
16,'050,Bangladesh,3010,Population - Est. & Proj.,551,Rural population,1000 No,36272.042,37018.844,37738.722,38479.121,39274.219,40147.083,41109.0,42160.34,43291.395,44485.32,45724.76,46975.31,48224.534,49524.141,50900.661,52366.363,53943.354,55606.492,57263.143,58790.758,60108.795,61176.367,62039.948,62816.306,63570.753,64292.462,65187.52,66212.131,67304.956,68380.163,69371.807,70492.493,72064.051,73646.652,75253.759,76893.894,78565.155,80253.098,81932.267,83573.015,85151.192,86702.314,88299.172,89857.57,91403.486,92955.417,94512.531,96063.558,97595.318,99092.697,100540.592,101793.097,102783.564,103668.291,104406.336,104978.125,105366.709,105592.037,105699.286,105756.065,105802.013,105853.212,105905.797,105947.078,105949.491,105895.754,105783.53,105622.933,105423.904,105200.1,104960.356,104707.739,104437.419,104140.792,103806.001,103425.2,102997.447,102526.701,102016.338,101471.321,100895.9,100292.246,99661.877,99007.828,98333.484,97642.603,96939.413,96230.566,95479.285,94692.421,93871.922,93019.425,92136.108,91222.929,90280.656,89310.274,88313.148,87290.924,86245.193,85177.643,84089.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,'050,Bangladesh,3010,Population - Est. & Proj.,561,Urban population,1000 No,1622.639,1686.232,1752.334,1821.241,1894.846,1974.441,2060.927,2154.479,2255.089,2362.125,2474.987,2617.492,2805.603,3008.276,3228.439,3467.675,3729.636,4014.177,4316.33,4626.636,4938.975,5248.377,5557.522,5874.879,6313.667,7013.461,7811.616,8713.765,9728.89,10856.613,12099.053,13228.775,13943.28,14691.59,15478.603,16305.971,17177.276,18090.711,19043.054,20026.217,21037.45,22025.118,22922.766,23837.569,24778.781,25751.454,26757.114,27791.082,28852.647,29936.994,31040.651,32314.063,33817.103,35350.71,36901.153,38452.976,40001.295,41547.154,43106.528,44698.643,46347.089,48058.704,49821.256,51624.214,53455.788,55305.132,57168.03,59046.818,60944.245,62865.82,64814.953,66791.896,68791.79,70806.614,72825.128,74837.709,76838.908,78826.655,80798.459,82753.107,84688.911,86602.416,88489.366,90346.518,92170.573,93957.922,95703.972,97402.188,99090.648,100764.273,102422.39,104064.043,105687.773,107291.852,108874.276,110433.246,111967.408,113475.785,114957.376,116411.372,117836.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,'064,Bhutan,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,176.367,179.833,183.545,187.481,191.638,196.014,200.607,205.425,210.468,215.741,221.266,227.071,233.417,240.268,247.444,255.01,262.976,271.339,280.102,289.296,298.894,308.837,319.128,329.8,340.842,352.269,364.119,376.387,389.072,402.063,415.257,428.641,442.201,456.033,470.165,484.528,499.151,514.026,529.051,544.209,558.442,567.71,545.944,520.838,521.26,527.536,537.494,546.865,557.143,570.99,587.207,603.234,619.048,634.627,649.991,663.323,673.26,681.614,689.737,697.678,705.516,713.331,721.145,728.889,736.357,743.274,749.761,756.121,762.096,767.459,772.506,777.486,782.455,787.424,792.382,797.335,802.26,807.152,811.997,816.78,821.498,826.118,830.618,834.985,839.181,843.199,847.047,850.697,854.14,857.356,860.331,863.045,865.481,867.621,869.441,870.966,872.205,873.151,873.814,874.192,874.294,874.155,873.777,873.176,872.368,871.328,870.049,868.559,866.861,864.934,862.791,860.43,857.836,855.014,851.96,848.644,845.082,841.289,837.246,832.958,828.443,823.685,818.686,813.475,808.088,802.532,796.81,790.927,784.899,778.783,772.581,766.3,759.975,753.626,747.275,740.939,734.634,728.384,722.207,716.101,710.082,704.156,698.303,692.523,686.831,681.222,675.688,670.235,664.871,659.602,654.43
18,'064,Bhutan,3010,Population - Est. & Proj.,512,Total Population - Male,1000 No,90.556,92.385,94.346,96.427,98.629,100.951,103.387,105.942,108.616,111.412,114.342,117.42,120.816,124.501,128.352,132.41,136.684,141.167,145.862,150.791,155.928,161.236,166.727,172.413,178.285,184.348,190.627,197.113,203.802,210.63,217.53,224.491,231.511,238.655,245.947,253.344,260.852,268.469,276.138,283.847,290.974,295.431,283.752,270.365,270.28,273.243,278.12,282.692,287.771,295.699,305.835,315.896,325.859,335.712,345.443,353.558,358.99,363.234,367.382,371.464,375.519,379.579,383.648,387.678,391.565,395.186,398.635,401.839,404.63,407.103,409.408,411.668,413.93,416.196,418.454,420.709,422.942,425.156,427.339,429.484,431.592,433.642,435.624,437.531,439.344,441.062,442.683,444.197,445.6,446.876,448.017,449.019,449.872,450.561,451.079,451.44,451.644,451.694,451.592,451.335,450.927,450.387,449.72,448.937,448.041,447.023,445.88,444.627,443.265,441.788,440.206,438.516,436.712,434.801,432.779,430.629,428.362,425.99,423.505,420.914,418.226,415.428,412.532,409.554,406.511,403.402,400.231,397.003,393.729,390.438,387.13,383.805,380.479,377.168,373.881,370.624,367.404,364.235,361.12,358.058,355.058,352.115,349.22,346.377,343.586,340.846,338.148,335.491,332.882,330.32,327.805
18,'064,Bhutan,3010,Population - Est. & Proj.,513,Total Population - Female,1000 No,85.81,87.449,89.199,91.053,93.009,95.063,97.22,99.484,101.852,104.329,106.924,109.65,112.602,115.767,119.091,122.6,126.293,130.172,134.24,138.506,142.967,147.601,152.401,157.387,162.558,167.922,173.492,179.274,185.27,191.434,197.727,204.15,210.69,217.378,224.218,231.184,238.298,245.557,252.912,260.362,267.469,272.279,262.192,250.474,250.98,254.292,259.374,264.173,269.372,275.291,281.372,287.339,293.189,298.916,304.548,309.765,314.269,318.38,322.355,326.213,329.998,333.752,337.498,341.21,344.791,348.088,351.127,354.282,357.467,360.356,363.099,365.818,368.525,371.228,373.928,376.626,379.318,381.995,384.658,387.296,389.906,392.476,394.994,397.453,399.837,402.137,404.363,406.5,408.541,410.48,412.313,414.026,415.61,417.06,418.363,419.526,420.56,421.457,422.222,422.857,423.367,423.767,424.057,424.24,424.327,424.305,424.169,423.932,423.595,423.146,422.585,421.914,421.123,420.212,419.181,418.015,416.72,415.298,413.741,412.044,410.217,408.257,406.154,403.921,401.577,399.13,396.579,393.923,391.17,388.344,385.451,382.495,379.495,376.459,373.394,370.315,367.229,364.149,361.087,358.043,355.024,352.041,349.083,346.145,343.245,340.377,337.54,334.743,331.988,329.283,326.625
18,'064,Bhutan,3010,Population - Est. & Proj.,551,Rural population,1000 No,173.084,176.817,180.466,184.153,187.98,192.026,196.305,200.821,205.522,210.35,215.259,220.237,225.32,230.625,236.328,242.537,249.288,256.531,264.178,272.081,280.136,288.296,296.564,304.968,313.575,322.416,331.498,340.78,350.053,359.086,367.714,375.625,382.841,389.951,397.769,406.719,417.38,429.177,440.047,447.3,449.228,445.083,436.051,424.82,415.014,409.136,407.866,410.306,415.413,421.599,427.663,433.476,439.213,444.581,449.256,453.31,459.05,463.91,467.983,471.472,474.47,476.998,479.102,480.787,482.036,482.844,483.225,483.217,482.916,482.419,481.8,481.101,480.308,479.424,478.406,477.243,475.956,474.554,473.051,471.465,469.795,468.063,466.269,464.438,462.576,460.706,458.83,456.969,454.949,452.793,450.499,448.075,445.522,442.852,440.058,437.151,434.128,430.995,427.751,424.399,420.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,'064,Bhutan,3010,Population - Est. & Proj.,561,Urban population,1000 No,3.713,4.008,4.324,4.663,5.031,5.431,5.869,6.344,6.862,7.423,8.029,8.681,9.386,10.153,10.997,11.927,12.956,14.091,15.337,16.693,18.165,19.757,21.481,23.344,25.368,27.566,29.957,32.544,35.331,38.304,41.458,44.755,48.209,51.896,55.951,60.459,65.572,71.26,77.226,82.957,88.052,92.201,95.474,98.297,101.489,105.741,111.416,118.448,126.742,135.944,145.753,156.124,167.186,178.853,191.026,203.329,213.178,223.048,232.967,242.986,253.171,263.512,273.865,284.174,294.412,304.542,314.54,324.393,334.138,343.81,353.445,363.051,372.601,382.078,391.429,400.623,409.652,418.504,427.168,435.642,443.902,451.95,459.766,467.359,474.712,481.835,488.713,495.344,501.889,508.357,514.74,521.038,527.245,533.367,539.391,545.317,551.139,556.851,562.45,567.925,573.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
