Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
16,'050,Bangladesh,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,39728.535,40548.59,41426.885,42329.279,43282.032,44315.548,45407.666,46560.522,47742.791,49004.963,50396.429,51882.769,53461.661,55094.115,56774.465,58500.159,60265.259,62104.488,63995.652,65866.908,67541.86,68376.204,69346.705,71144.818,72947.807,74700.345,76380.08,78137.788,80007.55,81908.151,83929.765,86154.836,88555.336,91045.478,93534.239,95959.099,98271.746,100490.256,102688.833,104893.674,107147.651,109242.834,111272.102,113418.757,115614.891,117793.338,119876.868,122039.226,124350.471,126754.824,129193.327,131670.484,134139.826,136503.206,138789.725,140912.59,142628.831,144135.934,145421.318,146706.81,148391.139,150211.005,152090.649,154030.139,155961.299,157830.0,159784.568,161793.964,163683.958,165516.222,167420.951,169356.251,171186.372,172954.319,174701.211,176421.509,178106.136,179751.964,181356.085,182915.579,184424.144,185878.302,187281.026,188629.587,189925.419,191166.614,192347.658,193472.026,194542.147,195558.997,196526.123,197444.714,198317.585,199152.551,199951.236,200709.378,201429.647,202111.723,202751.082,203348.861,203904.9,204414.038,204881.655,205304.625,205678.964,206011.271,206294.832,206522.498,206696.286,206817.842,206887.443,206906.003,206872.403,206782.889,206636.984,206436.847,206189.177,205895.069,205549.08,205155.248,204718.336,204236.614,203709.658,203141.965,202535.002,201891.486,201211.269,200489.912,199729.854,198933.08,198102.576,197240.092,196345.162,195420.633,194464.725,193475.937,192454.929,191408.63,190341.677,189251.652,188142.991,187014.794,185865.478,184699.322,183524.177,182342.109,181152.81,179959.517,178762.53,177563.935,176366.038
16,'050,Bangladesh,3010,Population - Est. & Proj.,561,Urban population,1000 No,1622.639,1686.232,1752.334,1821.241,1894.846,1974.441,2060.927,2154.479,2255.089,2362.125,2474.987,2617.492,2805.603,3008.276,3228.439,3467.675,3729.636,4014.177,4316.33,4626.636,4938.975,5248.377,5557.522,5874.879,6313.667,7013.461,7811.616,8713.765,9728.89,10856.613,12099.053,13228.775,13943.28,14691.59,15478.603,16305.971,17177.276,18090.711,19043.054,20026.217,21037.45,22025.118,22922.766,23837.569,24778.781,25751.454,26757.114,27791.082,28852.647,29936.994,31040.651,32314.063,33817.103,35350.71,36901.153,38452.976,40001.295,41547.154,43106.528,44698.643,46347.089,48058.704,49821.256,51624.214,53455.788,55305.132,57168.03,59046.818,60944.245,62865.82,64814.953,66791.896,68791.79,70806.614,72825.128,74837.709,76838.908,78826.655,80798.459,82753.107,84688.911,86602.416,88489.366,90346.518,92170.573,93957.922,95703.972,97402.188,99090.648,100764.273,102422.39,104064.043,105687.773,107291.852,108874.276,110433.246,111967.408,113475.785,114957.376,116411.372,117836.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,'064,Bhutan,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,176.367,179.833,183.545,187.481,191.638,196.014,200.607,205.425,210.468,215.741,221.266,227.071,233.417,240.268,247.444,255.01,262.976,271.339,280.102,289.296,298.894,308.837,319.128,329.8,340.842,352.269,364.119,376.387,389.072,402.063,415.257,428.641,442.201,456.033,470.165,484.528,499.151,514.026,529.051,544.209,558.442,567.71,545.944,520.838,521.26,527.536,537.494,546.865,557.143,570.99,587.207,603.234,619.048,634.627,649.991,663.323,673.26,681.614,689.737,697.678,705.516,713.331,721.145,728.889,736.357,743.274,749.761,756.121,762.096,767.459,772.506,777.486,782.455,787.424,792.382,797.335,802.26,807.152,811.997,816.78,821.498,826.118,830.618,834.985,839.181,843.199,847.047,850.697,854.14,857.356,860.331,863.045,865.481,867.621,869.441,870.966,872.205,873.151,873.814,874.192,874.294,874.155,873.777,873.176,872.368,871.328,870.049,868.559,866.861,864.934,862.791,860.43,857.836,855.014,851.96,848.644,845.082,841.289,837.246,832.958,828.443,823.685,818.686,813.475,808.088,802.532,796.81,790.927,784.899,778.783,772.581,766.3,759.975,753.626,747.275,740.939,734.634,728.384,722.207,716.101,710.082,704.156,698.303,692.523,686.831,681.222,675.688,670.235,664.871,659.602,654.43
18,'064,Bhutan,3010,Population - Est. & Proj.,561,Urban population,1000 No,3.713,4.008,4.324,4.663,5.031,5.431,5.869,6.344,6.862,7.423,8.029,8.681,9.386,10.153,10.997,11.927,12.956,14.091,15.337,16.693,18.165,19.757,21.481,23.344,25.368,27.566,29.957,32.544,35.331,38.304,41.458,44.755,48.209,51.896,55.951,60.459,65.572,71.26,77.226,82.957,88.052,92.201,95.474,98.297,101.489,105.741,111.416,118.448,126.742,135.944,145.753,156.124,167.186,178.853,191.026,203.329,213.178,223.048,232.967,242.986,253.171,263.512,273.865,284.174,294.412,304.542,314.54,324.393,334.138,343.81,353.445,363.051,372.601,382.078,391.429,400.623,409.652,418.504,427.168,435.642,443.902,451.95,459.766,467.359,474.712,481.835,488.713,495.344,501.889,508.357,514.74,521.038,527.245,533.367,539.391,545.317,551.139,556.851,562.45,567.925,573.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,'356,India,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,357021.1,364922.36,372997.188,381227.705,389731.406,398577.992,407656.597,416935.399,426295.763,435900.352,445954.579,456351.876,467024.193,477933.619,489059.309,500114.346,510992.617,521987.069,533431.909,545314.67,557501.301,569999.178,582837.973,596107.483,609721.951,623524.219,637451.448,651685.628,666267.76,681248.383,696828.385,712869.298,729169.466,745826.546,762895.156,780242.084,797878.993,815716.125,833729.681,852012.673,870452.165,888941.756,907574.049,926351.297,945261.958,964279.129,983281.218,1002335.23,1021434.576,1040500.054,1059633.675,1078970.907,1098313.039,1117415.123,1136264.583,1154638.713,1172373.788,1189691.809,1206734.806,1223640.16,1240613.62,1257621.191,1274487.215,1291132.063,1307246.509,1322866.505,1338636.34,1354195.68,1369003.306,1383112.05,1396387.127,1407563.842,1417173.173,1428627.663,1441719.852,1454606.724,1467231.21,1479578.522,1491671.049,1503470.597,1514994.08,1526208.89,1537108.035,1547689.835,1557919.806,1567802.259,1577302.813,1586438.621,1595245.783,1603664.86,1611676.333,1619318.36,1626585.377,1633430.529,1639837.771,1645863.187,1651513.758,1656777.045,1661705.662,1666284.995,1670490.596,1674343.633,1677872.877,1681073.168,1683955.036,1686563.352,1688894.376,1690942.717,1692704.323,1694150.261,1695285.496,1696121.513,1696684.915,1696976.687,1696961.377,1696634.194,1695973.647,1694997.002,1693712.648,1692129.032,1690230.782,1687990.29,1685415.1,1682564.509,1679449.251,1676034.859,1672328.379,1668352.09,1664100.421,1659592.793,1654856.931,1649862.775,1644678.016,1639364.772,1633888.926,1628242.63,1622427.556,1616451.904,1610366.035,1604195.811,1597908.861,1591484.819,1584943.121,1578296.205,1571569.451,1564797.337,1557945.219,1551000.309,1543990.229,1536933.462,1529850.119
100,'356,India,3010,Population - Est. & Proj.,561,Urban population,1000 No,64134.136,66175.821,67526.578,68943.129,70421.535,71958.495,73553.698,75207.437,76924.267,78708.627,80565.723,82675.18,85233.062,87891.377,90646.804,93493.844,96434.578,99474.695,102633.444,105930.715,109388.95,113196.304,117741.579,122487.307,127423.163,132533.81,137817.651,143275.014,148932.893,154814.231,160941.941,166988.757,172593.648,178366.487,184284.854,190321.782,196478.462,202754.676,209151.835,215662.744,222296.728,228927.146,235424.115,242018.09,248728.123,255558.824,262514.33,269579.338,276751.263,284011.643,291350.282,299138.807,307805.144,316585.269,325483.057,334479.406,343589.817,352799.379,362088.139,371405.723,380744.554,390082.225,399552.347,409174.674,419001.673,429069.459,439391.699,449963.381,460779.764,471828.295,483098.64,494589.933,506304.869,518239.122,530387.142,542742.539,555299.296,568049.691,580982.567,594084.574,607341.981,620743.504,634276.178,647921.155,661655.957,675456.367,689292.421,703118.822,716928.133,730682.502,744380.367,758013.845,771572.962,785052.124,798446.258,811749.463,824954.405,838052.464,851034.731,863891.549,876613.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,'524,Nepal,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,8398.945,8579.831,8759.894,8936.482,9110.777,9284.895,9458.896,9633.243,9805.019,9980.681,10167.941,10365.144,10570.716,10782.717,11002.819,11232.951,11470.199,11715.579,11970.411,12231.874,12501.285,12774.87,13052.22,13335.963,13626.301,13925.541,14230.738,14550.43,14888.77,15238.564,15600.442,15969.792,16347.124,16740.664,17141.61,17540.571,17936.926,18326.204,18720.745,19145.077,19616.53,20130.779,20702.133,21267.359,21794.751,22305.571,22783.969,23249.417,23703.328,24143.157,24559.5,24956.071,25332.178,25682.908,26003.965,26285.11,26518.971,26713.655,26881.544,27026.941,27161.567,27266.399,27330.694,27381.555,27462.106,27610.325,27861.186,28183.426,28506.712,28832.496,29348.627,30034.989,30547.58,30896.59,31240.315,31577.361,31907.071,32228.53,32540.486,32842.036,33133.395,33414.586,33686.387,33948.886,34202.471,34448.817,34687.232,34918.056,35141.522,35357.736,35568.802,35775.609,35977.813,36176.02,36369.545,36557.101,36738.417,36914.245,37084.465,37247.004,37401.365,37548.376,37687.305,37817.371,37938.361,38049.053,38149.244,38238.906,38317.673,38386.567,38446.287,38496.88,38538.33,38569.111,38590.056,38601.8,38603.454,38595.17,38577.09,38549.592,38512.777,38467.055,38412.15,38347.453,38272.946,38189.243,38095.904,37992.269,37878.081,37754.404,37621.963,37480.849,37331.459,37173.721,37007.832,36834.499,36654.349,36467.882,36275.442,36077.469,35875.632,35670.935,35463.618,35254.173,35043.793,34832.626,34620.913,34408.587,34195.393,33982.584,33769.507
149,'524,Nepal,3010,Population - Est. & Proj.,561,Urban population,1000 No,227.119,237.987,249.028,260.283,271.842,283.756,296.087,308.847,322.106,335.885,350.23,365.019,375.07,385.507,396.428,407.893,419.975,432.689,446.051,460.026,474.634,490.319,524.69,561.542,601.158,643.695,689.393,738.332,790.875,847.226,907.698,972.247,1032.498,1096.415,1164.017,1235.18,1309.992,1388.712,1472.441,1562.44,1660.139,1766.641,1894.744,2031.92,2176.985,2328.505,2486.126,2649.656,2819.657,2996.429,3180.501,3369.88,3498.199,3627.212,3756.147,3884.136,4010.912,4136.836,4263.906,4394.555,4531.339,4675.252,4827.029,4985.633,5149.63,5317.799,5489.899,5666.428,5847.671,6034.147,6226.233,6423.994,6627.181,6835.484,7048.429,7265.589,7486.768,7711.85,7940.583,8172.698,8407.931,8646.017,8886.728,9129.895,9375.376,9622.95,9872.166,10122.243,10374.453,10628.277,10883.768,11140.869,11399.416,11659.237,11920.095,12181.771,12444.072,12706.83,12969.864,13232.998,13496.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,'586,Pakistan,3010,Population - Est. & Proj.,511,Total Population - Both sexes,1000 No,37696.264,38215.785,38816.777,39488.228,40224.09,41023.128,41884.995,42808.511,43794.993,44843.639,45954.226,47060.915,48161.841,49325.05,50552.592,51841.626,53199.414,54629.793,56124.743,57676.805,59290.872,60878.781,62509.565,64285.624,66149.169,68126.999,70230.923,72451.105,74789.33,77407.341,80624.057,84270.202,87828.198,91080.372,94003.867,97121.552,100618.523,104251.093,107967.838,111670.386,115414.069,119203.569,122375.179,125546.615,129245.139,133117.476,137234.81,141330.267,145476.106,149694.462,154369.924,159217.727,163262.807,166876.68,170648.62,174372.098,178069.984,181924.521,185931.955,190123.222,194454.498,198602.738,202205.861,205337.562,208251.628,210969.298,213524.84,216379.655,219731.479,223293.28,227196.741,231402.117,235824.862,240485.658,245209.815,249948.885,254714.473,259516.159,264344.407,269181.864,274029.836,278894.997,283775.146,288660.9,293546.48,298432.78,303322.829,308188.654,313022.074,317831.136,322595.767,327302.028,331973.561,336630.727,341250.506,345818.945,350343.72,354810.48,359208.126,363535.502,367808.468,372047.758,376240.378,380369.492,384441.394,388462.358,392424.047,396323.426,400165.534,403952.083,407672.068,411316.839,414873.818,418365.296,421784.888,425116.124,428361.004,431506.667,434559.4,437521.943,440386.84,443150.985,445824.063,448403.975,450880.744,453262.112,455561.479,457758.742,459850.287,461858.842,463780.198,465610.271,467366.183,469050.161,470657.541,472183.772,473629.704,475015.709,476352.851,477624.436,478822.764,479951.187,481003.034,481981.546,482893.235,483738.203,484519.107,485241.978,485893.422,486485.53,487017.405
165,'586,Pakistan,3010,Population - Est. & Proj.,561,Urban population,1000 No,6577.754,6813.98,7071.04,7348.543,7647.578,7968.418,8311.959,8678.174,9068.758,9484.467,9926.658,10347.205,10720.064,11112.288,11523.874,11954.323,12405.053,12876.708,13369.422,13882.331,14416.426,14971.922,15551.213,16188.042,16869.523,17592.808,18360.114,19171.58,20031.633,20943.631,21910.455,22901.557,23881.358,24905.037,25966.941,27060.895,28186.903,29343.258,30523.633,31718.763,32923.693,34133.44,35349.208,36576.156,37825.51,39104.11,40415.999,41757.031,43095.268,44390.191,45687.389,46983.935,48285.484,49598.941,50935.25,52301.807,53701.081,55132.929,56604.41,58121.842,59691.513,61316.426,62994.185,64713.498,66461.625,68226.783,70005.271,71795.7,73630.43,75510.639,77437.729,79411.956,81432.849,83500.516,85615.064,87777.053,89987.063,92246.804,94559.486,96929.249,99359.685,101852.248,104408.06,107030.004,109721.252,112484.07,115319.503,118227.045,121205.16,124251.086,127361.588,130533.905,133763.593,137040.392,140339.642,143649.422,146966.102,150286.49,153606.398,156921.57,160228.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
