Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1950,Y1951,Y1952,Y1953,Y1954,Y1955,Y1956,Y1957,Y1958,Y1959,Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,Y2041,Y2042,Y2043,Y2044,Y2045,Y2046,Y2047,Y2048,Y2049,Y2050,Y2051,Y2052,Y2053,Y2054,Y2055,Y2056,Y2057,Y2058,Y2059,Y2060,Y2061,Y2062,Y2063,Y2064,Y2065,Y2066,Y2067,Y2068,Y2069,Y2070,Y2071,Y2072,Y2073,Y2074,Y2075,Y2076,Y2077,Y2078,Y2079,Y2080,Y2081,Y2082,Y2083,Y2084,Y2085,Y2086,Y2087,Y2088,Y2089,Y2090,Y2091,Y2092,Y2093,Y2094,Y2095,Y2096,Y2097,Y2098,Y2099,Y2100
"2","'004","Afghanistan","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No","7480.461000","7571.537000","7667.533000","7764.546000","7864.285000","7971.931000","8087.727000","8210.201000","8333.826000","8468.211000","8622.466000","8790.140000","8969.047000","9157.465000","9355.514000","9565.147000","9783.147000","10010.030000","10247.780000","10494.489000","10752.971000","11015.857000","11286.753000","11575.305000","11869.879000","12157.386000","12425.267000","12687.301000","12938.862000","12986.369000","12486.631000","11155.195000","10088.289000","9951.449000","10243.686000","10512.221000","10448.442000","10322.758000","10383.460000","10673.168000","10694.796000","10745.167000","12057.433000","14003.760000","15455.555000","16418.912000","17106.595000","17788.819000","18493.132000","19262.847000","19542.982000","19688.632000","21000.256000","22645.130000","23553.551000","24411.191000","25442.944000","25903.301000","26427.199000","27385.307000","28189.672000","29249.157000","30466.479000","31541.209000","32716.210000","33753.499000","34636.207000","35643.418000","36686.784000","37769.499000","38972.230000","40099.462000","41128.771000","42239.854000","43372.950000","44515.793000","45667.550000","46827.624000","47990.912000","49158.072000","50330.837000","51506.437000","52685.458000","53866.558000","55046.630000","56226.855000","57410.144000","58600.249000","59792.941000","60985.590000","62180.342000","63375.847000","64572.473000","65768.823000","66964.990000","68161.269000","69355.671000","70546.052000","71729.374000","72905.780000","74075.234000","75237.171000","76389.963000","77532.235000","78663.890000","79788.207000","80899.832000","81998.402000","83084.272000","84152.304000","85205.111000","86241.147000","87254.855000","88248.606000","89228.558000","90189.815000","91131.134000","92059.516000","92972.912000","93861.812000","94723.569000","95562.571000","96383.675000","97187.281000","97970.493000","98732.058000","99473.737000","100196.491000","100896.716000","101578.603000","102242.085000","102881.221000","103500.474000","104100.265000","104677.122000","105228.197000","105752.837000","106254.728000","106734.775000","107193.821000","107630.910000","108041.524000","108430.416000","108801.262000","109153.078000","109487.140000","109802.281000","110094.664000","110366.921000","110621.216000","110854.784000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No","3962.260000","4001.601000","4043.308000","4085.501000","4129.202000","4177.092000","4229.236000","4284.967000","4341.481000","4403.774000","4476.521000","4556.369000","4642.166000","4732.954000","4828.823000","4930.806000","5037.166000","5148.111000","5264.694000","5385.983000","5513.404000","5643.110000","5776.971000","5920.001000","6066.275000","6209.118000","6342.102000","6472.323000","6596.024000","6612.822000","6349.775000","5665.035000","5114.320000","5035.098000","5169.086000","5286.542000","5241.168000","5170.108000","5195.399000","5338.559000","5348.387000","5372.959000","6028.494000","7003.641000","7733.458000","8219.467000","8569.175000","8916.862000","9275.541000","9667.811000","9815.442000","9895.467000","10562.202000","11397.483000","11862.726000","12302.104000","12828.447000","13067.961000","13339.006000","13827.977000","14240.377000","14780.282000","15399.105000","15946.572000","16543.889000","17071.446000","17520.861000","18028.696000","18549.862000","19090.409000","19692.301000","20254.878000","20766.442000","21319.695000","21884.960000","22455.176000","23029.571000","23607.851000","24187.363000","24768.433000","25352.017000","25936.595000","26522.452000","27108.977000","27694.558000","28279.698000","28865.868000","29455.047000","30045.016000","30634.469000","31224.458000","31814.243000","32404.096000","32993.223000","33581.692000","34169.711000","34756.255000","35340.202000","35919.980000","36495.683000","37067.247000","37634.455000","38196.443000","38752.499000","39302.580000","39848.446000","40387.409000","40919.176000","41443.908000","41959.092000","42466.113000","42964.222000","43450.601000","43926.405000","44394.889000","44853.549000","45301.842000","45743.317000","46176.944000","46598.014000","47005.161000","47400.749000","47787.410000","48165.393000","48533.245000","48890.444000","49237.968000","49576.257000","49903.414000","50221.590000","50530.891000","50828.445000","51116.514000","51395.198000","51662.729000","51917.724000","52159.832000","52390.993000","52611.815000","52822.608000","53022.827000","53210.424000","53387.995000","53557.202000","53717.654000","53870.066000","54013.859000","54147.379000","54272.065000","54388.865000","54496.126000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No","3518.202000","3569.936000","3624.224000","3679.045000","3735.084000","3794.838000","3858.490000","3925.235000","3992.345000","4064.438000","4145.945000","4233.771000","4326.881000","4424.511000","4526.691000","4634.341000","4745.981000","4861.918000","4983.086000","5108.507000","5239.568000","5372.747000","5509.781000","5655.304000","5803.603000","5948.268000","6083.166000","6214.979000","6342.838000","6373.547000","6136.856000","5490.160000","4973.968000","4916.351000","5074.600000","5225.679000","5207.273000","5152.650000","5188.060000","5334.609000","5346.409000","5372.208000","6028.939000","7000.119000","7722.096000","8199.445000","8537.421000","8871.958000","9217.591000","9595.036000","9727.541000","9793.166000","10438.055000","11247.647000","11690.825000","12109.086000","12614.497000","12835.340000","13088.192000","13557.331000","13949.295000","14468.875000","15067.373000","15594.637000","16172.321000","16682.054000","17115.346000","17614.722000","18136.922000","18679.089000","19279.930000","19844.584000","20362.329000","20920.159000","21487.990000","22060.618000","22637.979000","23219.773000","23803.550000","24389.639000","24978.821000","25569.841000","26163.005000","26757.582000","27352.072000","27947.157000","28544.276000","29145.202000","29747.925000","30351.121000","30955.883000","31561.605000","32168.376000","32775.601000","33383.299000","33991.559000","34599.416000","35205.850000","35809.393000","36410.097000","37007.986000","37602.717000","38193.520000","38779.736000","39361.310000","39939.760000","40512.423000","41079.226000","41640.364000","42193.212000","42738.999000","43276.925000","43804.254000","44322.201000","44833.670000","45336.266000","45829.293000","46316.198000","46795.968000","47263.798000","47718.408000","48161.821000","48596.264000","49021.889000","49437.249000","49841.615000","50235.769000","50620.234000","50993.302000","51357.014000","51711.194000","52052.776000","52383.960000","52705.067000","53014.393000","53310.474000","53593.005000","53863.736000","54122.961000","54371.213000","54608.084000","54831.100000","55042.421000","55244.061000","55435.425000","55617.075000","55788.423000","55947.285000","56094.857000","56232.351000","56358.658000"
"2","'004","Afghanistan","3010","Population - Est. & Proj.","551","Rural population","1000 No","7286.991000","7352.856000","7425.363000","7504.561000","7590.370000","7682.763000","7781.641000","7886.997000","7998.664000","8116.554000","8240.554000","8370.731000","8507.016000","8649.566000","8798.496000","8954.064000","9113.479000","9276.202000","9446.519000","9630.541000","9830.690000","10045.261000","10267.199000","10487.151000","10692.696000","10872.864000","11033.148000","11170.461000","11255.639000","11251.885000","11129.292000","10891.902000","10563.504000","10190.525000","9834.677000","9544.582000","9321.752000","9166.105000","9117.520000","9293.948000","9655.167000","10230.490000","10995.568000","11858.090000","12690.115000","13401.971000","13952.791000","14373.573000","14733.655000","15137.497000","15657.474000","16318.324000","17086.910000","17909.063000","18692.107000","19378.962000","19961.972000","20464.923000","20929.119000","21415.593000","21966.187000","22594.126000","23280.663000","23997.856000","24703.798000","25368.923000","25985.093000","26558.609000","27099.874000","27626.382000","28150.604000","28674.023000","29191.512000","29701.149000","30199.465000","30683.762000","31153.570000","31609.269000","32049.876000","32474.347000","32881.648000","33270.867000","33641.099000","33991.382000","34320.722000","34628.216000","34913.055000","35174.475000","35411.646000","35623.832000","35810.485000","35971.542000","36107.678000","36221.721000","36314.614000","36386.218000","36436.477000","36465.547000","36473.780000","36461.658000","36429.603000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","3010","Population - Est. & Proj.","561","Urban population","1000 No","465.127000","486.654000","509.617000","534.035000","560.077000","587.818000","617.389000","648.810000","682.282000","717.891000","755.797000","796.033000","838.852000","884.388000","932.865000","984.350000","1038.852000","1096.428000","1157.827000","1223.887000","1295.433000","1372.564000","1454.741000","1540.671000","1628.845000","1717.422000","1807.151000","1897.077000","1982.095000","2054.810000","2119.078000","2162.052000","2186.141000","2198.744000","2212.438000","2238.468000","2279.289000","2336.656000","2423.368000","2483.661000","2593.947000","2763.167000","2985.663000","3237.009000","3482.604000","3697.570000","3870.093000","4008.032000","4130.344000","4266.179000","4436.282000","4648.139000","4893.013000","5155.788000","5426.872000","5691.836000","5931.478000","6151.869000","6364.912000","6588.738000","6836.980000","7114.473000","7416.295000","7733.832000","8054.222000","8367.571000","8670.939000","8971.472000","9273.302000","9582.625000","9904.337000","10239.684000","10587.583000","10948.055000","11320.521000","11704.638000","12100.876000","12510.046000","12932.441000","13368.312000","13817.897000","14281.457000","14759.230000","15251.394000","15758.064000","16279.334000","16815.273000","17365.885000","17931.018000","18510.406000","19103.637000","19710.141000","20328.618000","20955.421000","21588.764000","22228.097000","22872.875000","23522.644000","24177.043000","24835.782000","25498.515000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","'051","Armenia","3010","Population - Est. & Proj.","511","Total Population - Both sexes","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3574.555000","3457.349000","3373.713000","3322.782000","3298.898000","3271.418000","3240.550000","3206.030000","3168.523000","3133.133000","3105.037000","3084.102000","3065.745000","3047.246000","3026.486000","3004.393000","2983.421000","2964.296000","2946.293000","2928.976000","2914.421000","2901.385000","2889.930000","2878.595000","2865.835000","2851.923000","2836.557000","2820.602000","2805.608000","2790.974000","2780.469000","2777.970000","2777.979000","2777.003000","2775.109000","2772.323000","2768.742000","2764.470000","2759.528000","2753.925000","2747.753000","2741.125000","2734.049000","2726.573000","2718.722000","2710.501000","2701.923000","2693.021000","2683.809000","2674.265000","2664.340000","2654.030000","2643.414000","2632.515000","2621.300000","2609.802000","2598.016000","2585.903000","2573.465000","2560.653000","2547.441000","2533.858000","2519.905000","2505.509000","2490.682000","2475.470000","2459.871000","2443.880000","2427.507000","2410.780000","2393.659000","2376.144000","2358.233000","2339.841000","2320.973000","2301.665000","2281.874000","2261.571000","2240.823000","2219.691000","2198.247000","2176.488000","2154.418000","2132.142000","2109.673000","2087.010000","2064.215000","2041.384000","2018.593000","1995.882000","1973.264000","1950.791000","1928.557000","1906.570000","1884.822000","1863.322000","1842.079000","1821.081000","1800.342000","1779.842000","1759.523000","1739.362000","1719.307000","1699.311000","1679.316000","1659.264000","1639.158000","1619.018000","1598.835000"
"1","'051","Armenia","3010","Population - Est. & Proj.","512","Total Population - Male","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1724.306000","1657.918000","1610.482000","1581.494000","1567.674000","1552.302000","1535.416000","1516.620000","1496.293000","1477.059000","1460.849000","1447.623000","1435.939000","1424.136000","1410.916000","1396.993000","1383.609000","1371.050000","1359.071000","1347.572000","1337.883000","1329.192000","1321.149000","1313.130000","1304.368000","1295.024000","1284.995000","1274.767000","1265.512000","1256.498000","1250.079000","1249.091000","1249.926000","1250.272000","1250.153000","1249.586000","1248.621000","1247.316000","1245.688000","1243.746000","1241.555000","1239.183000","1236.656000","1234.012000","1231.276000","1228.458000","1225.586000","1222.704000","1219.813000","1216.908000","1213.975000","1211.005000","1208.031000","1205.062000","1202.066000","1199.050000","1195.986000","1192.831000","1189.562000","1186.136000","1182.524000","1178.726000","1174.715000","1170.430000","1165.866000","1161.034000","1155.931000","1150.543000","1144.869000","1138.929000","1132.714000","1126.235000","1119.488000","1112.436000","1105.100000","1097.515000","1089.668000","1081.547000","1073.201000","1064.663000","1055.976000","1047.144000","1038.172000","1029.118000","1019.977000","1010.744000","1001.438000","992.100000","982.756000","973.409000","964.054000","954.708000","945.399000","936.107000","926.812000","917.502000","908.180000","898.824000","889.431000","879.992000","870.476000","860.894000","851.227000","841.450000","831.560000","821.554000","811.446000","801.260000","791.014000"
"1","'051","Armenia","3010","Population - Est. & Proj.","513","Total Population - Female","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1850.249000","1799.431000","1763.232000","1741.289000","1731.224000","1719.117000","1705.134000","1689.409000","1672.231000","1656.074000","1644.189000","1636.478000","1629.805000","1623.111000","1615.571000","1607.400000","1599.812000","1593.247000","1587.223000","1581.404000","1576.538000","1572.193000","1568.781000","1565.465000","1561.467000","1556.899000","1551.563000","1545.834000","1540.097000","1534.475000","1530.390000","1528.880000","1528.053000","1526.732000","1524.956000","1522.737000","1520.121000","1517.154000","1513.841000","1510.178000","1506.198000","1501.942000","1497.393000","1492.561000","1487.447000","1482.042000","1476.336000","1470.318000","1463.995000","1457.357000","1450.366000","1443.026000","1435.383000","1427.454000","1419.233000","1410.753000","1402.030000","1393.072000","1383.903000","1374.517000","1364.918000","1355.132000","1345.189000","1335.079000","1324.816000","1314.436000","1303.939000","1293.337000","1282.639000","1271.851000","1260.945000","1249.909000","1238.745000","1227.406000","1215.873000","1204.150000","1192.207000","1180.024000","1167.621000","1155.028000","1142.271000","1129.344000","1116.245000","1103.024000","1089.696000","1076.266000","1062.777000","1049.284000","1035.837000","1022.473000","1009.209000","996.082000","983.159000","970.462000","958.011000","945.819000","933.899000","922.256000","910.911000","899.850000","889.047000","878.468000","868.080000","857.861000","847.756000","837.711000","827.712000","817.758000","807.821000"
"1","'051","Armenia","3010","Population - Est. & Proj.","551","Rural population","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1140.314000","1123.071000","1105.535000","1092.052000","1084.134000","1080.782000","1081.011000","1082.796000","1084.598000","1086.476000","1085.046000","1082.281000","1079.095000","1075.092000","1069.827000","1063.546000","1057.443000","1053.182000","1051.946000","1054.190000","1059.405000","1065.858000","1072.043000","1076.799000","1079.792000","1081.248000","1081.275000","1080.164000","1078.125000","1075.114000","1070.987000","1065.772000","1059.501000","1052.215000","1043.935000","1034.690000","1024.529000","1013.504000","1001.669000","989.064000","975.726000","961.718000","947.106000","931.948000","916.293000","900.189000","883.700000","867.304000","851.051000","834.944000","818.982000","803.152000","787.430000","771.803000","756.271000","740.843000","725.520000","710.307000","695.207000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1","'051","Armenia","3010","Population - Est. & Proj.","561","Urban population","1000 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2302.496000","2240.027000","2178.125000","2125.290000","2084.081000","2052.304000","2027.673000","2006.221000","1984.990000","1964.179000","1948.851000","1935.525000","1921.517000","1906.167000","1888.673000","1869.510000","1850.777000","1835.402000","1825.365000","1821.391000","1822.517000","1827.651000","1834.177000","1840.151000","1845.024000","1849.202000","1852.877000","1856.542000","1860.554000","1864.830000","1869.102000","1873.397000","1877.736000","1882.155000","1886.653000","1891.231000","1895.921000","1900.764000","1905.794000","1911.015000","1916.428000","1922.073000","1927.990000","1934.202000","1940.705000","1947.468000","1954.413000","1961.056000","1967.348000","1973.284000","1978.853000","1984.011000","1988.681000","1992.815000","1996.387000","1999.405000","2001.846000","2003.709000","2004.977000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
